foodId,menu,calories,protein,fat,carbo,image,category
1,"Makaroni atau Mie dengan Keju (Campuran Kering); Sayap Ayam; Terung Dimasak; Anggur (Merah atau Hijau, Jenis Varietas Eropa Seperti Thompson tanpa Biji)",630,21.76,27.51,76.13,,breakfast
2,Nasi Goreng tanpa Daging; Daging Sapi Giling tanpa Lemak; Wortel Bayi; Rasberi Beku,582,29.099999999999998,22.599999999999998,65.49000000000001,,breakfast
3,Makaroni; Potongan Daging Babi; Kentang Tumbuk; Apel,617,34.07,17.650000000000002,80.73,,breakfast
4,Makaroni atau Mie dengan Keju (Campuran Ditumbuk dengan Saus Keju); Dada Ayam (Kulit tidak Dimakan); Bawang Manis; Apel,654,43.309999999999995,15.009999999999998,86.72999999999999,https://m.ftscrt.com/food/213b4f93-1fcb-4a00-b095-2bea2ad540aa_sq.jpg,breakfast
5,"Makanan Pembuka Makaroni dan Keju (Kalengan); Potongan Daging Domba; Bawang Putih Cincang; Anggur (Merah atau Hijau, Jenis Varietas Eropa Seperti Thompson tanpa Biji)",633,33.36,32.78000000000001,51.91,,breakfast
6,Mie; Sayap Ayam (Kulit tidak Dimakan); Kentang Panggang yang Diisi Daging Babi dan Keju (Kulit Dimakan); Campuran Buah Kering,664,25.859999999999996,18.78,100.97999999999999,,breakfast
7,Nasi Putih; Babi Panggang (Hanya Daging yang Dimakan); Kentang Panggang yang Diisi Daging Babi dan Keju (Kulit Dimakan); Blueberry Tawar dalam Kemasan Air (Dimasak atau Kalengan),680,39.44,22.41,80.07,,breakfast
8,Nasi Goreng Babi; Iga Babi Panggang dengan Saus; Selada; Stroberi Beku dengan Gula,839,42.519999999999996,43.669999999999995,69.56,https://m.ftscrt.com/food/ba4815b8-733f-4a31-b1e4-f57775cd1f9b_sq.jpg,breakfast
9,Nasi Goreng tanpa Daging; Dada Ayam Masak; Kubis Cina; Jeruk Mandarin (Kaleng atau Beku),367,27.09,8.06,46.97,,breakfast
10,Makanan Pembuka Makaroni dan Keju (Kalengan); Potongan Daging Domba (Daging dan Lemak Dimakan); Bawang Merah; Jus Pepaya,653,32.70000000000001,32.85,56.370000000000005,,breakfast
11,Makaroni Gandum; Paha Ayam Goreng tanpa Pelapis (Kulit Dimakan); Kentang Panggang yang Diisi Daging Babi dan Keju (Kulit Dimakan); Apel,693,33.279999999999994,21.53,97.11999999999999,https://m.ftscrt.com/food/2588a596-f9cd-4b1e-aa64-a0c2c80b243d_sq.jpg,breakfast
12,Makaroni atau Mie dengan Keju (Campuran Ditumbuk dengan Saus Keju); Daging Punggung Sapi (Hanya Bagian tanpa Lemak yang Dimakan); Bawang Bombay Dimasak; Rasberi Merah,694,42.49,25.189999999999998,73.79,,breakfast
13,Makaroni atau Mie dengan Keju (Campuran Kering); Ayam (Kulit tidak Dimakan); Zaitun Hijau Isi; Stroberi Beku dengan Gula,738,37.4,30.66,80.72,,breakfast
14,"Nasi Putih; Potongan Daging Domba (Daging dan Lemak Dimakan); Sayuran Campur Matang (Jagung, Kacang Lima, Kacang Polong, Kacang Hijau dan Wortel); Nektar Mangga",625,29.66,28.979999999999997,60.230000000000004,https://m.ftscrt.com/food/f53a7537-c8d0-4dac-b75f-65eaa0437d87_sq.jpg,breakfast
15,Makaroni atau Mie dengan Keju (Campuran Ditumbuk dengan Saus Keju); Dada Ayam (Kulit tidak Dimakan); Lobak Dimasak; Rasberi Merah,593,43.019999999999996,16.929999999999996,65.64,https://m.ftscrt.com/food/213b4f93-1fcb-4a00-b095-2bea2ad540aa_sq.jpg,breakfast
16,Makaroni; Daging Sapi Giling tanpa Lemak; Potongan-Potongan Jamur dan Batang; Pisang Apel,530,32.419999999999995,17.2,60.77,https://m.ftscrt.com/food/4a6feb6e-b9a7-45e5-af6d-6a458f5f5a11_sq.jpg,breakfast
17,Makanan Pembuka Makaroni dan Keju (Kalengan); Paha Ayam Panggang (Kulit Dimakan); Potongan-Potongan Jamur dan Batang; Stroberi Beku tanpa Pemanis,398,25.21,15.759999999999998,39.3,https://m.ftscrt.com/food/4a6feb6e-b9a7-45e5-af6d-6a458f5f5a11_sq.jpg,breakfast
18,Makaroni Gandum; Ayam Goreng tanpa Pelapis (Kulit Dimakan); Brokoli Dimasak (Lemak tidak Ditambahkan dalam Masakan); Stroberi dalam Sirup (Dimasak atau Kalengan),542,34.64,14.520000000000001,73.38,,breakfast
19,Makaroni atau Mie dengan Keju; Bahu Daging Babi Panggang; Bayam Dimasak (dari Segar); Rasberi Beku,906,42.519999999999996,43.21,88.24000000000001,https://m.ftscrt.com/food/7e9eb86b-c23b-44a3-b021-d90c0b7a20ed_sq.jpg,breakfast
20,Mie; Iga Babi Panggang dengan Saus; Lobak Dimasak; Rasberi Beku,850,41.019999999999996,39.12,83.01,,breakfast
21,Nasi Putih; Bakso Ayam; Bayam Bayi/Kecil; Stroberi,363,25.57,6.920000000000001,49.17,https://m.ftscrt.com/food/46dea353-53c7-47fd-a651-1dd1b34432ad_sq.jpg,breakfast
22,Makaroni atau Mie dengan Keju; Paha Ayam Panggang (Kulit Dimakan); Selada; Stroberi Beku dengan Gula,764,35.870000000000005,32.62,83.81,https://m.ftscrt.com/food/ba4815b8-733f-4a31-b1e4-f57775cd1f9b_sq.jpg,breakfast
23,"Nasi Merah Instan; Bahu Daging Babi Panggang; Sayuran Campur Matang (Jagung, Kacang Lima, Kacang Polong, Kacang Hijau dan Wortel); Stroberi",525,26.9,21.790000000000003,55.38999999999999,https://m.ftscrt.com/food/f53a7537-c8d0-4dac-b75f-65eaa0437d87_sq.jpg,breakfast
24,Nasi Goreng tanpa Daging; Sayap Ayam; Potongan-Potongan Jamur dan Batang; Stroberi Beku dengan Gula,397,15.469999999999999,13.219999999999999,56.97,https://m.ftscrt.com/food/4a6feb6e-b9a7-45e5-af6d-6a458f5f5a11_sq.jpg,breakfast
25,Nasi Putih; Bakso Daging Sapi; Zaitun Hijau Isi; Rasberi Beku tanpa Pemanis,467,18.09,20.34,53.93000000000001,https://m.ftscrt.com/food/a3203b61-948c-4873-bc58-dc67fba572d7_sq.jpg,breakfast
26,Makaroni atau Mie dengan Keju; Bahu Daging Babi Panggang; Kembang Kol Dimasak (Lemak tidak Ditambahkan dalam Masakan); Jeruk Mandarin (Kaleng atau Beku),837,41.13999999999999,41.4,76.11,,breakfast
27,Makanan Pembuka Makaroni dan Keju (Kalengan); Iga Babi Panggang dengan Saus; Kentang Panggang yang Diisi Daging Babi dan Keju (Kulit Dimakan); Rasberi Merah,1022,53.22,53.839999999999996,80.77000000000001,,breakfast
28,Makaroni atau Mie dengan Keju (Campuran Ditumbuk dengan Saus Keju); Daging Sapi Ekstra tanpa Lemak; Kentang Tumbuk (dari Kentang Segar); Pisang,864,43.55,34.06,96.95,,breakfast
29,Makaroni atau Mie dengan Keju (Campuran Kering); Potongan Daging Domba (Hanya Daging yang Dimakan); Bawang Putih Dimasak; Campuran Buah Kering,672,34.78,27.540000000000003,71.85999999999999,,breakfast
30,Makaroni Krim dengan Keju; Sayap Ayam; Kentang Tumbuk (dari Kentang Kering); Pisang Apel,579,23.630000000000003,25.14,65.64,,breakfast
31,Nasi Merah Instan; Paha Ayam (Kulit tidak Dimakan); Labu Dimasak; Rasberi Beku tanpa Pemanis,386,19.830000000000002,9.870000000000001,56.96,https://m.ftscrt.com/food/00426b49-891a-4447-9b3d-5bbbbe391dd2_sq.jpg,breakfast
